sensitivity_case_id,base_case,parameter_name,parameter_value,parameter_multiplier,baseline_value,Tmax_global_baseline_C,Tmax_global_delta_C,S_Tmax_global,Tmax_contact_baseline_C,Tmax_contact_delta_C,S_Tmax_contact,Qdielectric_baseline_W,Qdielectric_delta_W,S_Qdielectric,heat_balance_status,field_singularity_flag,dielectric_loss_review_required,status,notes
RUN011B_CASE_035,SENS_HIGH_RISK,h_air,20.0,1.0,20.0,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_030,SENS_HIGH_RISK,h_oil,100.0,0.333333333,300.0,134.974199,-0.987891999999988,0.010978676006071221,129.925482,-0.9744209999999782,0.011249767770728513,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_031,SENS_HIGH_RISK,h_oil,300.0,1.0,300.0,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_032,SENS_HIGH_RISK,h_oil,500.0,1.66666667,300.0,134.974199,0.5431480000000022,0.006036131394267458,129.925482,0.5357410000000016,0.006185172359029636,28.0485376,0.0,0.0,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_020,SENS_HIGH_RISK,k_RIP_multiplier,0.8,0.8,1.0,134.974199,6.239179000000007,-0.2311248759475879,129.925482,6.154094000000015,-0.23683167863868368,28.0485376,0.0,-0.0,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_021,SENS_HIGH_RISK,k_RIP_multiplier,1.0,1.0,1.0,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_022,SENS_HIGH_RISK,k_RIP_multiplier,1.2,1.2,1.0,134.974199,-4.373536000000001,-0.16201377864816974,129.925482,-4.313893999999991,-0.16601416187164855,28.0485376,0.0,0.0,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_023,SENS_HIGH_RISK,tan_delta_multiplier,0.5,0.5,1.0,134.974199,-1.6908229999999946,0.025054017916416673,129.925482,-1.6677649999999744,0.025672639028577544,28.0485376,-14.0242688,1.0,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_024,SENS_HIGH_RISK,tan_delta_multiplier,1.0,1.0,1.0,134.974199,0.0,,129.925482,0.0,,28.0485376,0.0,,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_025,SENS_HIGH_RISK,tan_delta_multiplier,2.0,2.0,1.0,134.974199,3.3816459999999893,0.025054017916416673,129.925482,3.3355300000000057,0.02567263902857798,28.0485376,28.0485375,0.9999999964347517,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
RUN011B_CASE_026,SENS_HIGH_RISK,tan_delta_multiplier,5.0,5.0,1.0,134.974199,13.526582999999988,0.02505401606421089,129.925482,13.34212100000002,0.02567264095275787,28.0485376,112.19415039999998,0.9999999999999999,VALID_STRICT,False,True,SOLVED_THERMAL_WARNING,local normalized OFAT sensitivity; baseline rows have NaN sensitivity
