case_id,run_id,status,load_multiplier_pu,current_A,oil_temperature_C,air_temperature_C,contact_resistance_multiplier_pu,Tmax_global_C,Tmax_conductor_C,Tmax_RIP_C,Tmax_contact_C,Tmax_silicone_C,Tmax_flange_C,thermal_warning,thermal_risk,risk_zone,contact_risk_zone,note
RUN008_CASE_026,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,65.000000,25.000000,2.000000,67.2270758,53.2641758,67.2270758,41.7526835,42.7101097,38.1310605,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_027,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,65.000000,25.000000,2.000000,67.2762651,54.8447049,67.2762651,46.0563593,43.8954900,38.5782269,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_028,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,65.000000,25.000000,2.000000,67.3327452,56.9955219,67.3327452,51.7381333,45.4855473,39.1775774,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_029,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,65.000000,25.000000,2.000000,67.4233959,59.7147333,67.4233959,58.9420887,47.4794798,39.9060703,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_030,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,65.000000,25.000000,2.000000,71.9720406,67.3745077,67.5169261,67.7534897,49.9759072,40.8289458,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_031,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.600000,750.000000,75.000000,25.000000,2.000000,77.7908302,59.7637888,77.7908302,44.5280250,46.6735203,41.2272313,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_032,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,75.000000,25.000000,2.000000,77.8184284,61.4046646,77.8184284,48.8483066,47.9206407,41.7103694,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_033,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,75.000000,25.000000,2.000000,77.8783970,63.5633816,77.8783970,54.5945053,49.5165851,42.3115940,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_034,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,75.000000,25.000000,2.000000,77.9719945,66.3251606,77.9719945,61.8809000,51.5184775,43.0450863,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_035,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,75.000000,25.000000,2.000000,78.0640247,70.4143678,78.0640247,70.7869412,54.0391944,43.9820144,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_036,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,85.000000,25.000000,2.000000,88.3367399,66.2939975,88.3367399,47.2898137,50.6719526,44.3448778,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_037,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,85.000000,25.000000,2.000000,88.3852267,67.9380459,88.3852267,51.6667370,51.9003382,44.8106266,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_038,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.000000,1250.00000,85.000000,25.000000,2.000000,88.4236562,70.1380659,88.4236562,57.4443770,53.5575553,45.4487209,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_039,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.200000,1500.00000,85.000000,25.000000,2.000000,88.5218624,72.9281682,88.5218624,64.8135003,55.5652695,46.1850505,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_040,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,1.400000,1750.00000,85.000000,25.000000,2.000000,88.6128428,76.3475925,88.6128428,73.8184195,58.1101771,47.1344096,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_041,SOLID_ONLY_RISK_125_RUN008,INVALID_CASE,0.600000,750.000000,95.000000,25.000000,2.000000,98.8827493,72.8233688,98.8827493,50.0601226,54.6700518,47.4623096,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
RUN008_CASE_042,SOLID_ONLY_RISK_125_RUN008,SOLVED_VALID,0.800000,1000.00000,95.000000,25.000000,2.000000,98.9315631,74.4963734,98.9315631,54.4685739,55.9181426,47.9361137,false,false,safe,contact_safe,"solid-only thermal diagnostic risk scan; by-ID selections; approximate_Qdielectric_ref; not full electro-thermal coupling"
