idx,type,xmin,xmax,ymin,ymax,dx,dy
149,LINE,2215.522534798311,2215.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
150,LINE,2214.030654382044,2215.522534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
151,LINE,2216.522534798311,2216.522534798311,2073.066709336857,2075.566709336857,0.0,2.5
152,LINE,2216.522534798311,2217.522534798311,2073.066709336857,2075.566709336857,1.0,2.5
153,LINE,2217.522534798311,2217.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
154,LINE,2216.522534798311,2216.522534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
155,LINE,2216.522534798311,2216.522534798311,2058.566745679969,2061.066745679969,0.0,2.5
156,LINE,2216.522534798311,2217.522534798311,2058.566745679969,2061.066745679969,1.0,2.5
157,LINE,2218.522534798311,2218.528624467668,2061.066745679969,2073.066709336857,0.006089669357152161,11.999963656888212
158,LINE,2218.520504902378,2218.522534798311,2073.066709336857,2077.066709336857,0.0020298959329920763,4.0
159,LINE,2218.528624467668,2218.530654382044,2057.066709336857,2061.066745679969,0.002029914375725639,4.000036343111788
160,LINE,2218.520504902378,2220.022534798311,2073.066709336857,2077.066709336857,1.502029895932992,4.0
161,LINE,2220.022534798311,2220.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
162,LINE,2218.530654382044,2220.022534798311,2057.066709336857,2061.066745679969,1.4918804162671222,4.000036343111788
163,LINE,2221.022534798311,2221.022534798311,2073.066709336857,2075.566709336857,0.0,2.5
164,LINE,2221.022534798311,2222.022534798311,2073.066709336857,2075.566709336857,1.0,2.5
165,LINE,2222.022534798311,2222.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
166,LINE,2221.022534798311,2221.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
167,LINE,2221.022534798311,2221.022534798311,2058.566745679969,2061.066745679969,0.0,2.5
168,LINE,2221.022534798311,2222.022534798311,2058.566745679969,2061.066745679969,1.0,2.5
169,LINE,2222.022534798311,2223.022534798311,2073.066709336857,2073.066709336857,1.0,0.0
170,LINE,2223.022534798311,2223.022534798311,2061.066745679969,2073.066709336857,0.0,11.999963656888212
171,LINE,2179.522534798311,2180.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
172,LINE,2181.522534798311,2182.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
173,LINE,2184.022534798311,2185.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
174,LINE,2186.022534798311,2187.028624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
175,LINE,2188.522534798311,2189.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
176,LINE,2193.022534798311,2194.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
177,LINE,2190.522534798311,2191.528624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
178,LINE,2197.522534798311,2198.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
179,LINE,2195.022534798311,2196.028624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
180,LINE,2199.522534798311,2200.528624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
181,LINE,2202.022534798311,2203.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
182,LINE,2204.022534798311,2205.028624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
183,LINE,2206.522534798311,2207.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
184,LINE,2208.522534798311,2209.528624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
185,LINE,2211.022534798311,2212.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
186,LINE,2213.022534798311,2214.028624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
187,LINE,2215.522534798311,2216.522534798311,2061.066745679969,2061.066745679969,1.0,0.0
188,LINE,2217.522534798311,2218.528624467668,2061.066745679969,2061.066745679969,1.0060896693571522,0.0
189,LINE,2220.022534798311,2221.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
190,LINE,2222.022534798311,2223.022534798311,2061.066745679969,2061.066745679969,1.0,0.0
191,LINE,2179.522534798311,2180.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
192,LINE,2181.522534798311,2182.522534798311,2073.066709336857,2073.066709336857,1.0,0.0
