case_id,Emax_global_V_per_m,Emax_RIP_V_per_m,Emax_RIP_probe_excluding_edges_V_per_m,E95_RIP_V_per_m,Emean_RIP_V_per_m,field_singularity_flag,screen_end_hotspot_flag,notes
RUN010_CASE_075,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_076,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_077,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_078,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_079,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_080,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_081,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_082,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_083,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_084,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_085,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_086,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_087,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_088,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_089,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_090,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_091,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_092,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_093,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_094,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_095,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
RUN010_CASE_096,45634515.2,45634515.2,45634515.2,13106429.4,1805617.57,false,false,"field diagnostics stable"
