case_id,Qjoule_conductor_W,Qcontact_W,Qdielectric_RIP_field_W,Qscreen_loss_W,Qtotal_W,Qjoule_expected_I2R_W,Qcontact_expected_I2Rc_W,Qjoule_relative_error_pct,Qcontact_relative_error_pct,status,notes
RUN010_CASE_073,35.7245417,7.81250000,28.0485376,0.00000000,71.5855792,35.7245417,7.81250000,4.37568670e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_074,52.4550917,11.2500000,28.0485376,0.00000000,91.7536292,52.4550917,11.2500000,1.21911609e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_075,73.0882495,15.3125000,28.0485376,0.00000000,116.449287,73.0882495,15.3125000,-7.77736767e-14,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_076,11.8472421,5.62500000,28.0485376,0.00000000,45.5207796,11.8472421,5.62500000,-1.49938427e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_077,21.3868419,10.0000000,28.0485376,0.00000000,59.4353795,21.3868419,10.0000000,2.99010235e-13,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_078,34.0866424,15.6250000,28.0485376,0.00000000,77.7601799,34.0866424,15.6250000,-4.16903917e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_079,50.3016792,22.5000000,28.0485376,0.00000000,100.850217,50.3016792,22.5000000,-1.55381892e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_080,70.5015888,30.6250000,28.0485376,0.00000000,129.175126,70.5015888,30.6250000,-6.04703594e-14,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_081,12.0239082,5.62500000,28.0485376,0.00000000,45.6974458,12.0239082,5.62500000,-2.80697252e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_082,21.7035538,10.0000000,28.0485376,0.00000000,59.7520913,21.7035538,10.0000000,-8.18463584e-14,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_083,34.5869292,15.6250000,28.0485376,0.00000000,78.2604668,34.5869292,15.6250000,-2.05436780e-14,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_084,51.0319231,22.5000000,28.0485376,0.00000000,101.580461,51.0319231,22.5000000,3.06316894e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_085,71.5119226,30.6250000,28.0485376,0.00000000,130.185460,71.5119226,30.6250000,-7.94880305e-14,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_086,12.2005743,5.62500000,28.0485376,0.00000000,45.8741119,12.2005743,5.62500000,-4.36788496e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_087,22.0202656,10.0000000,28.0485376,0.00000000,60.0688032,22.0202656,10.0000000,2.09739876e-13,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_088,35.0872161,15.6250000,28.0485376,0.00000000,78.7607536,35.0872161,15.6250000,3.03761376e-13,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_089,51.7621670,22.5000000,28.0485376,0.00000000,102.310705,51.7621670,22.5000000,-3.15722541e-13,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_090,72.5222565,30.6250000,28.0485376,0.00000000,131.195794,72.5222565,30.6250000,9.79758174e-14,-5.80034886e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_091,12.3772405,5.62500000,28.0485376,0.00000000,46.0507780,12.3772405,5.62500000,-5.74072013e-14,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_092,22.3369775,10.0000000,28.0485376,0.00000000,60.3855150,22.3369775,10.0000000,-3.34006637e-13,-7.10542736e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_093,35.5875029,15.6250000,28.0485376,0.00000000,79.2610405,35.5875029,15.6250000,-3.99321491e-14,-7.95807864e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
RUN010_CASE_094,52.4924109,22.5000000,28.0485376,0.00000000,103.040949,52.4924109,22.5000000,0.00000000,-6.31593543e-14,SOLVED_VALID,"RUN006 source normalization retained; Qcontact=I^2*Rc0*Rc_factor; Qdielectric uses field-coupled es.normE"
