case_id,status,valid_temperature,valid_heat_balance,valid_Qjoule,valid_Qcontact,valid_Qdielectric,valid_selection,field_singularity_flag,dielectric_loss_review_required,thermal_warning,thermal_risk,overall_valid,failure_reason
RUN010_CASE_115,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_116,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_117,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_118,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_119,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_120,SOLVED_THERMAL_WARNING,true,true,true,true,true,true,false,true,true,false,true,""
RUN010_CASE_121,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_122,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_123,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_124,SOLVED_VALID,true,true,true,true,true,true,false,true,false,false,true,""
RUN010_CASE_125,SOLVED_THERMAL_WARNING,true,true,true,true,true,true,false,true,true,false,true,""
