selection_name,domain_ids,boundary_ids
geom_v3_g_cad_air_side_profile_053_dom,"75",""
geom_v3_g_cad_air_side_profile_053_pnt,"",""
geom_v3_g_cad_air_side_profile_054_bnd,"","193 194 196 214 218"
geom_v3_g_cad_air_side_profile_054_dom,"76",""
geom_v3_g_cad_air_side_profile_054_pnt,"",""
geom_v3_g_cad_air_side_profile_055_bnd,"","195 196 198 219 265"
geom_v3_g_cad_air_side_profile_055_dom,"77",""
geom_v3_g_cad_air_side_profile_055_pnt,"",""
geom_v3_g_cad_air_side_profile_056_bnd,"","197 198 200 266 295"
geom_v3_g_cad_air_side_profile_056_dom,"78",""
geom_v3_g_cad_air_side_profile_056_pnt,"",""
geom_v3_g_cad_air_side_profile_057_bnd,"","199 200 202 296"
geom_v3_g_cad_air_side_profile_057_dom,"79",""
geom_v3_g_cad_air_side_profile_057_pnt,"",""
geom_v3_g_cad_air_side_profile_058_bnd,"","201 202 204 288 297"
geom_v3_g_cad_air_side_profile_058_dom,"80",""
geom_v3_g_cad_air_side_profile_058_pnt,"",""
geom_v3_g_cad_air_side_profile_059_bnd,"","203 204 205 287"
geom_v3_g_cad_air_side_profile_059_dom,"81",""
geom_v3_g_cad_air_side_profile_059_pnt,"",""
geom_v3_g_center_conductor_main_bnd,"","4 5 7 11"
geom_v3_g_center_conductor_main_dom,"2",""
geom_v3_g_center_conductor_main_pnt,"",""
geom_v3_g_center_conductor_upper_bnd,"","8 9 10 15"
geom_v3_g_center_conductor_upper_dom,"4",""
geom_v3_g_center_conductor_upper_pnt,"",""
geom_v3_g_contact_resistance_heat_source_layer_bnd,"","6 7 9 13"
geom_v3_g_contact_resistance_heat_source_layer_dom,"3",""
geom_v3_g_contact_resistance_heat_source_layer_pnt,"",""
geom_v3_g_flange_grounded_metal_disk_bnd,"","66 67 69 231 233 318"
geom_v3_g_flange_grounded_metal_disk_dom,"19 82",""
geom_v3_g_flange_grounded_metal_disk_pnt,"",""
geom_v3_g_flange_grounded_metal_neck_bnd,"","64 65 66 68 71 74 229 230 232"
geom_v3_g_flange_grounded_metal_neck_dom,"18 19 20",""
geom_v3_g_flange_grounded_metal_neck_pnt,"",""
geom_v3_g_inner_conduit_or_hollow_region_bnd,"","1 2 3 4 6 8"
